V1,V2,V3,V4,V5,V6,V7
0.621783575,0.888476525,0.531096157,0.989491681,0.866619166,0.90312431,0.704194215
0.36597197,0.556189837,0.154979639,0.923951959,0.648723957,0.833684112,0.524931538
0.747928868,0.916418183,0.793779653,0.995697014,0.787344714,0.911639313,0.381249681
0.542412753,0.78991708,0.160041525,0.859017656,0.579849559,0.699442594,0.456437925
0.095105379,0.308164538,0.111285621,0.721704148,0.365728306,0.642134187,0.278177073
0.562615191,0.819218566,0.439104656,0.967582923,0.656173932,0.9413535,0.512931735
0.471145266,0.848243369,0.609576794,0.988322177,0.688656169,0.901504554,0.589729702
0.244509551,0.717206175,0.18036676,0.944767847,0.611283174,0.889460236,0.570572135
0.690682399,0.769780351,0.418692681,0.90712354,0.563044664,0.803898549,0.388651071
0.42703159,0.730612189,0.457807371,0.862032429,0.379695988,0.81103689,0.438944945
0.621882429,0.817721572,0.53424985,0.981317491,0.720845672,0.940565526,0.503630327
0.521427472,0.92060391,0.567135159,0.995258013,0.742697953,0.828745775,0.409692009
0.745675319,0.835731355,0.575656802,0.86856518,0.481193528,0.76636172,0.342388333
0.010817526,0.090493351,-0.001049752,0.8474757,0.366728479,0.792045131,0.370584145
-0.010931578,0.144619753,-0.053262608,0.706710441,0.29786036,0.759246412,0.348891574
0.639110869,0.832821727,0.556347001,0.977849579,0.749688086,0.930296172,0.467711592
0.520828271,0.803330682,0.273705152,0.938169071,0.624383724,0.955758834,0.611490004
0.098363047,0.457154048,-0.001757334,0.915306936,0.457010772,0.823898711,0.541449553
0.772437139,0.868447443,0.761970593,0.909182242,0.348336268,0.683058772,0.43953797
0.011807903,0.057795176,0.018051968,0.783268266,0.324213559,0.773984664,0.311200429
0.884628031,0.910892101,0.835456436,0.998250452,0.963019848,0.889043481,0.526952343
0.645966285,0.769141271,0.589484423,0.92249306,0.77408171,0.475579186,0.202099148
0.001334789,0.034625233,0.002893865,0.703171224,0.382188268,0.726094071,0.376953005
-0.000387022,0.042018614,0.002496849,0.63051027,0.3519474,0.636564457,0.350013234
-0.000850532,0.006547374,-0.008682964,0.676015051,0.300620647,0.664295159,0.300380958
0.52963943,0.882065077,0.495680069,0.986752603,0.814088615,0.927283064,0.640175772
0.500842912,0.737303298,0.308497569,0.939936715,0.570906397,0.879395995,0.52580784
0.434987381,0.76933222,0.433785271,0.961841259,0.697808142,0.905215664,0.469106424
0.36273145,0.737035504,0.435486871,0.977507787,0.733060206,0.912893119,0.464411052
0.606028795,0.860154866,0.592031052,0.808858886,0.420449109,0.671635525,0.264839641
0.561190971,0.814352703,0.566926751,0.993907321,0.92476151,0.989534438,0.689798116
0.516465465,0.863429533,0.493528848,0.995643092,0.844116086,0.849207418,0.48567467
0.571716623,0.915124418,0.496964042,0.950673272,0.613708908,0.77436425,0.330181978
0.517127157,0.749206479,0.155522688,0.880507097,0.640984921,0.769325439,0.493736922
0.076666945,0.165617046,0.079078596,0.710215638,0.427267215,0.779064571,0.291169119
0.677814639,0.886688024,0.678183708,0.991871671,0.911680543,0.857450875,0.643853834
0.865312856,0.903982489,0.741410395,0.967237599,0.763194619,0.601511984,0.332087295
0.002043334,0.013851475,-6.35E-05,0.60108348,0.271333279,0.612514016,0.303597372
-0.000706137,0.043312346,-0.011183428,0.551517186,0.356278131,0.567474052,0.345211382
-0.00123426,0.032963009,0.00486444,0.692944144,0.357253402,0.681800832,0.373841894
0.481451509,0.711265955,0.479946632,0.996697187,0.852053804,0.984487307,0.754757511
0.492577467,0.628653051,0.400665326,0.975282425,0.629343843,0.932012463,0.416348073
0.642235076,0.840646976,0.600278125,0.982413329,0.831712348,0.909331097,0.564366841
0.376785314,0.754079781,0.207658171,0.955750883,0.5114258,0.776845809,0.444387649
0.552534699,0.771479092,0.508395966,0.811123357,0.265987343,0.497270281,0.245502381
0.65659097,0.812508742,0.648439508,0.997593967,0.864659253,0.97512251,0.626159816
0.810707994,0.931376259,0.718234565,0.993308281,0.762035772,0.625492571,0.184466208
0.451042222,0.714476878,0.189438236,0.689286411,0.382794633,0.7234204,0.322670956
0.087753273,0.429245061,0.134972434,0.620004664,0.350701634,0.581953184,0.30691453
0.001938286,0.033391126,-0.000579314,0.777140264,0.348472252,0.78577474,0.353238035
0.605082996,0.852372043,0.505093199,0.968475243,0.681609221,0.894431048,0.578464949
0.330989985,0.497025613,0.208828455,0.978660607,0.640314254,0.858568183,0.536980885
0.44537528,0.800012524,0.559232626,0.982421827,0.751021978,0.952332249,0.569692307
0.532310618,0.719631221,0.383207625,0.944887592,0.715036648,0.825717023,0.420936163
0.000477512,0.009225184,-0.004108118,0.773026452,0.416252054,0.765808589,0.410976939
0.536024625,0.806922278,0.558470129,0.991293947,0.917389758,0.954588055,0.674859359
0.590448571,0.85299291,0.552893796,0.993156406,0.892030978,0.87161016,0.567772026
0.589206071,0.766933692,0.55347006,0.912949909,0.692114982,0.775068073,0.378975518
0.157563595,0.462784369,0.172835262,0.87771469,0.560481038,0.850090638,0.492094859
0.402397781,0.574879957,0.348329354,0.755478414,0.401892459,0.814764342,0.352678059
0.838535386,0.951322223,0.882323246,0.999189338,0.990726175,0.899116666,0.576828247
0.712778943,0.870113887,0.214074298,0.984631765,0.604988044,0.745006714,0.40151891
0.036465877,0.144258505,0.015799277,0.591453039,0.387086989,0.685154128,0.378327503
-0.037122359,0.207327371,0.04503224,0.926290112,0.46725693,0.87409785,0.440172024
-0.000166217,0.062515969,0.001099482,0.688378249,0.567773156,0.69682488,0.565345123
0.710773232,0.844985018,0.641841799,0.985903177,0.841574668,0.92495827,0.481919392
0.47149109,0.711120092,0.027622756,0.967316997,0.62389497,0.986225239,0.634892566
-0.052968267,0.63886697,-0.099227673,0.917756902,0.311328248,0.888702102,0.630031343
0.799438153,0.94324888,0.700358924,0.997800594,0.763511006,0.546080298,0.227690778
0.000560381,0.008658708,0.00226433,0.624750815,0.283003872,0.631706722,0.281774719
0.602191901,0.914943902,0.566994247,0.992001849,0.865957033,0.953075027,0.638328057
0.346432208,0.703579811,0.268445047,0.957300948,0.586050116,0.874182983,0.700038327
0.498656673,0.649204493,0.214165948,0.990792377,0.743436778,0.96350928,0.527062558
0.600940952,0.84803199,0.404876533,0.899222115,0.588483936,0.956672859,0.460032816
0.135463143,0.444325452,0.00548275,0.932576023,0.502248604,0.747743851,0.394522049
0.673157317,0.906863453,0.543181801,0.987152287,0.774906535,0.897069652,0.415263479
0.785125143,0.890019004,0.744883974,0.994139512,0.870583141,0.816539136,0.389462945
0.170379582,0.239692483,0.103372549,0.827487491,0.532455666,0.846271669,0.41928354
0.053403472,0.209756862,0.030939474,0.775782766,0.330629762,0.722787218,0.351272096
0.01925282,0.46324835,0.037581886,0.862983426,0.401912299,0.743739084,0.390498986
0.589444159,0.879296101,0.604971202,0.997215254,0.834822195,0.98471757,0.626927258
0.840809367,0.894302576,0.755394339,0.962497038,0.600126834,0.915026445,0.470678733
0.040805028,0.482587993,0.047254701,0.955935797,0.455517899,0.885616066,0.434568302
-0.031117725,0.0685967,-0.11550363,0.845786184,0.35775821,0.744230413,0.339001792
-0.00959354,0.122817292,-0.036776578,0.907382823,0.415020288,0.936466381,0.429616138
0.512981352,0.857748905,0.477970084,0.978823501,0.836325336,0.950330441,0.686341963
0.410295503,0.763860888,0.530325472,0.964708267,0.627931172,0.866673145,0.426183591
0.545399138,0.655505632,0.269740517,0.972890187,0.460321668,0.722107374,0.427867998
